sigla_uf,nome_municipio,codigo_ibge,candidaturas,nao_brancos,brancos
AC,ACRELÂNDIA,1200013,4,0.75,0.25
AC,ASSIS BRASIL,1200054,5,0.8,0.19999999999999996
AC,BRASILÉIA,1200104,3,0.3333333333333333,0.6666666666666667
AC,BUJARI,1200138,5,1,0
AC,CAPIXABA,1200179,4,1,0
AC,CRUZEIRO DO SUL,1200203,3,0.6666666666666666,0.33333333333333337
AC,EPITACIOLÂNDIA,1200252,4,0.75,0.25
AC,FEIJÓ,1200302,4,0.25,0.75
AC,JORDÃO,1200328,5,1,0
AC,MÂNCIO LIMA,1200336,3,0.6666666666666666,0.33333333333333337
AC,MANOEL URBANO,1200344,2,1,0
AC,MARECHAL THAUMATURGO,1200351,4,1,0
AC,PLÁCIDO DE CASTRO,1200385,4,0.5,0.5
AC,PORTO ACRE,1200807,5,1,0
AC,PORTO WALTER,1200393,2,1,0
AC,RIO BRANCO,1200401,7,0.42857142857142855,0.5714285714285714
AC,RODRIGUES ALVES,1200427,5,0.8,0.19999999999999996
AC,SANTA ROSA DO PURUS,1200435,5,1,0
AC,SENA MADUREIRA,1200500,2,0.5,0.5
AC,SENADOR GUIOMARD,1200450,5,0.8,0.19999999999999996
AC,TARAUACÁ,1200609,6,1,0
AC,XAPURI,1200708,4,0.5,0.5
AL,ÁGUA BRANCA,2700102,4,0.75,0.25
AL,ANADIA,2700201,3,1,0
AL,ARAPIRACA,2700300,8,0.375,0.625
AL,ATALAIA,2700409,5,0.4,0.6
AL,BARRA DE SANTO ANTÔNIO,2700508,2,0,1
AL,BARRA DE SÃO MIGUEL,2700607,5,0.2,0.8
AL,BATALHA,2700706,5,0.4,0.6
AL,BELÉM,2700805,4,0.25,0.75
AL,BELO MONTE,2700904,2,0.5,0.5
AL,BOCA DA MATA,2701001,3,0.6666666666666666,0.33333333333333337
AL,BRANQUINHA,2701100,4,0.5,0.5
AL,CACIMBINHAS,2701209,2,1,0
AL,CAJUEIRO,2701308,5,0.4,0.6
AL,CAMPESTRE,2701357,2,0.5,0.5
AL,CAMPO ALEGRE,2701407,3,0.6666666666666666,0.33333333333333337
AL,CAMPO GRANDE,2701506,3,1,0
AL,CANAPI,2701605,3,0.6666666666666666,0.33333333333333337
AL,CAPELA,2701704,3,0.6666666666666666,0.33333333333333337
AL,CARNEIROS,2701803,2,0,1
AL,CHÃ PRETA,2701902,3,0.3333333333333333,0.6666666666666667
AL,COITÉ DO NÓIA,2702009,4,0.25,0.75
AL,COLÔNIA LEOPOLDINA,2702108,3,1,0
AL,COQUEIRO SECO,2702207,3,0.3333333333333333,0.6666666666666667
AL,CORURIPE,2702306,3,0.3333333333333333,0.6666666666666667
AL,CRAÍBAS,2702355,3,0.3333333333333333,0.6666666666666667
AL,DELMIRO GOUVEIA,2702405,5,0.8,0.19999999999999996
AL,DOIS RIACHOS,2702504,2,0.5,0.5
AL,ESTRELA DE ALAGOAS,2702553,2,0,1
AL,FEIRA GRANDE,2702603,3,0.3333333333333333,0.6666666666666667
AL,FELIZ DESERTO,2702702,3,0.3333333333333333,0.6666666666666667
AL,FLEXEIRAS,2702801,2,0.5,0.5
AL,GIRAU DO PONCIANO,2702900,4,0.75,0.25
AL,IBATEGUARA,2703007,4,0.75,0.25
AL,IGACI,2703106,3,0.6666666666666666,0.33333333333333337
AL,IGREJA NOVA,2703205,4,0.25,0.75
AL,INHAPI,2703304,4,0.25,0.75
AL,JACARÉ DOS HOMENS,2703403,2,0,1
AL,JACUÍPE,2703502,3,0.6666666666666666,0.33333333333333337
AL,JAPARATINGA,2703601,3,0.6666666666666666,0.33333333333333337
AL,JARAMATAIA,2703700,2,1,0
AL,JEQUIÁ DA PRAIA,2703759,4,0.25,0.75
AL,JOAQUIM GOMES,2703809,3,0.6666666666666666,0.33333333333333337
AL,JUNDIÁ,2703908,2,1,0
AL,JUNQUEIRO,2704005,3,1,0
AL,LAGOA DA CANOA,2704104,4,0,1
AL,LIMOEIRO DE ANADIA,2704203,3,0.3333333333333333,0.6666666666666667
AL,MACEIÓ,2704302,10,0.4,0.6
AL,MAJOR ISIDORO,2704401,2,0.5,0.5
AL,MAR VERMELHO,2704906,2,0.5,0.5
AL,MARAGOGI,2704500,3,0.3333333333333333,0.6666666666666667
AL,MARAVILHA,2704609,3,0.3333333333333333,0.6666666666666667
AL,MARECHAL DEODORO,2704708,2,0,1
AL,MARIBONDO,2704807,2,0,1
AL,MATA GRANDE,2705002,2,0.5,0.5
AL,MATRIZ DE CAMARAGIBE,2705101,3,0.6666666666666666,0.33333333333333337
AL,MESSIAS,2705200,3,0.6666666666666666,0.33333333333333337
AL,MINADOR DO NEGRÃO,2705309,2,1,0
AL,MONTEIRÓPOLIS,2705408,5,0.6,0.4
AL,MURICI,2705507,2,0.5,0.5
AL,NOVO LINO,2705606,2,1,0
AL,OLHO D'ÁGUA DAS FLORES,2705705,3,0.3333333333333333,0.6666666666666667
AL,OLHO D'ÁGUA DO CASADO,2705804,2,0.5,0.5
AL,OLHO D'ÁGUA GRANDE,2705903,5,0.4,0.6
AL,OLIVENÇA,2706000,2,1,0
AL,OURO BRANCO,2706109,4,0.75,0.25
AL,PALESTINA,2706208,3,0,1
AL,PALMEIRA DOS ÍNDIOS,2706307,3,0.3333333333333333,0.6666666666666667
AL,PÃO DE AÇÚCAR,2706406,4,0.25,0.75
AL,PARICONHA,2706422,3,0.6666666666666666,0.33333333333333337
AL,PARIPUEIRA,2706448,3,0.6666666666666666,0.33333333333333337
AL,PASSO DE CAMARAGIBE,2706505,5,0.4,0.6
AL,PAULO JACINTO,2706604,2,0.5,0.5
AL,PENEDO,2706703,5,0.8,0.19999999999999996
AL,PIAÇABUÇU,2706802,3,0.3333333333333333,0.6666666666666667
AL,PILAR,2706901,3,0,1
AL,PINDOBA,2707008,2,0,1
AL,PIRANHAS,2707107,3,0.6666666666666666,0.33333333333333337
AL,POÇO DAS TRINCHEIRAS,2707206,3,0,1
AL,PORTO CALVO,2707305,5,0.4,0.6
AL,PORTO DE PEDRAS,2707404,2,0.5,0.5
AL,PORTO REAL DO COLÉGIO,2707503,2,0.5,0.5
AL,QUEBRANGULO,2707602,2,0.5,0.5
AL,RIO LARGO,2707701,3,0,1
AL,ROTEIRO,2707800,4,1,0
AL,SANTA LUZIA DO NORTE,2707909,2,0.5,0.5
AL,SANTANA DO IPANEMA,2708006,6,0.8333333333333334,0.16666666666666663
AL,SANTANA DO MUNDAÚ,2708105,2,0.5,0.5
AL,SÃO BRÁS,2708204,3,0.3333333333333333,0.6666666666666667
AL,SÃO JOSÉ DA LAJE,2708303,3,0.6666666666666666,0.33333333333333337
AL,SÃO JOSÉ DA TAPERA,2708402,5,0.6,0.4
AL,SÃO LUÍS DO QUITUNDE,2708501,3,0.6666666666666666,0.33333333333333337
AL,SÃO MIGUEL DOS CAMPOS,2708600,4,0.5,0.5
AL,SÃO MIGUEL DOS MILAGRES,2708709,4,0.5,0.5
AL,SÃO SEBASTIÃO,2708808,4,0.75,0.25
AL,SATUBA,2708907,2,1,0
AL,SENADOR RUI PALMEIRA,2708956,2,0.5,0.5
AL,TANQUE D'ARCA,2709004,5,0.6,0.4
AL,TAQUARANA,2709103,3,0.3333333333333333,0.6666666666666667
AL,TEOTÔNIO VILELA,2709152,2,1,0
AL,TRAIPU,2709202,4,0.5,0.5
AL,UNIÃO DOS PALMARES,2709301,8,0.875,0.125
AL,VIÇOSA,2709400,3,0.3333333333333333,0.6666666666666667
AM,ALVARÃES,1300029,3,1,0
AM,AMATURÁ,1300060,4,0.75,0.25
AM,ANAMÃ,1300086,3,1,0
AM,ANORI,1300102,2,0.5,0.5
AM,APUÍ,1300144,3,0,1
AM,ATALAIA DO NORTE,1300201,3,0.6666666666666666,0.33333333333333337
AM,AUTAZES,1300300,4,0.5,0.5
AM,BARCELOS,1300409,5,0.6,0.4
AM,BARREIRINHA,1300508,3,0.6666666666666666,0.33333333333333337
AM,BENJAMIN CONSTANT,1300607,5,0.6,0.4
AM,BERURI,1300631,8,0.75,0.25
AM,BOA VISTA DO RAMOS,1300680,2,0.5,0.5
AM,BOCA DO ACRE,1300706,6,0.5,0.5
AM,BORBA,1300805,5,1,0
AM,CAAPIRANGA,1300839,2,0.5,0.5
AM,CANUTAMA,1300904,3,0.6666666666666666,0.33333333333333337
AM,CARAUARI,1301001,3,0.6666666666666666,0.33333333333333337
AM,CAREIRO,1301100,5,0.6,0.4
AM,CAREIRO DA VÁRZEA,1301159,5,0.8,0.19999999999999996
AM,COARI,1301209,10,0.9,0.09999999999999998
AM,CODAJÁS,1301308,4,0.75,0.25
AM,EIRUNEPÉ,1301407,5,0.6,0.4
AM,ENVIRA,1301506,3,0.3333333333333333,0.6666666666666667
AM,FONTE BOA,1301605,4,0.75,0.25
AM,GUAJARÁ,1301654,3,0.6666666666666666,0.33333333333333337
AM,HUMAITÁ,1301704,6,0.16666666666666666,0.8333333333333334
AM,IPIXUNA,1301803,3,0.6666666666666666,0.33333333333333337
AM,IRANDUBA,1301852,11,0.8181818181818182,0.18181818181818177
