sigla_uf,nome_municipio,codigo_ibge,descricao_sexo,capital,n,candidaturas
AC,ACRELÂNDIA,1200013,FEMININO,0,1,1
AC,ACRELÂNDIA,1200013,MASCULINO,0,3,3
AC,ASSIS BRASIL,1200054,MASCULINO,0,5,5
AC,BRASILÉIA,1200104,FEMININO,0,2,2
AC,BRASILÉIA,1200104,MASCULINO,0,1,1
AC,BUJARI,1200138,FEMININO,0,1,1
AC,BUJARI,1200138,MASCULINO,0,4,4
AC,CAPIXABA,1200179,MASCULINO,0,4,4
AC,CRUZEIRO DO SUL,1200203,MASCULINO,0,3,3
AC,EPITACIOLÂNDIA,1200252,FEMININO,0,1,1
AC,EPITACIOLÂNDIA,1200252,MASCULINO,0,3,3
AC,FEIJÓ,1200302,MASCULINO,0,4,4
AC,JORDÃO,1200328,FEMININO,0,2,2
AC,JORDÃO,1200328,MASCULINO,0,3,3
AC,MÂNCIO LIMA,1200336,FEMININO,0,1,1
AC,MÂNCIO LIMA,1200336,MASCULINO,0,2,2
AC,MANOEL URBANO,1200344,MASCULINO,0,2,2
AC,MARECHAL THAUMATURGO,1200351,FEMININO,0,1,1
AC,MARECHAL THAUMATURGO,1200351,MASCULINO,0,3,3
AC,PLÁCIDO DE CASTRO,1200385,FEMININO,0,1,1
AC,PLÁCIDO DE CASTRO,1200385,MASCULINO,0,3,3
AC,PORTO ACRE,1200807,MASCULINO,0,5,5
AC,PORTO WALTER,1200393,MASCULINO,0,2,2
AC,RIO BRANCO,1200401,FEMININO,1,1,1
AC,RIO BRANCO,1200401,MASCULINO,1,6,6
AC,RODRIGUES ALVES,1200427,MASCULINO,0,5,5
AC,SANTA ROSA DO PURUS,1200435,FEMININO,0,1,1
AC,SANTA ROSA DO PURUS,1200435,MASCULINO,0,4,4
AC,SENA MADUREIRA,1200500,MASCULINO,0,2,2
AC,SENADOR GUIOMARD,1200450,FEMININO,0,2,2
AC,SENADOR GUIOMARD,1200450,MASCULINO,0,3,3
AC,TARAUACÁ,1200609,FEMININO,0,1,1
AC,TARAUACÁ,1200609,MASCULINO,0,5,5
AC,XAPURI,1200708,FEMININO,0,1,1
AC,XAPURI,1200708,MASCULINO,0,3,3
AL,ÁGUA BRANCA,2700102,FEMININO,0,1,1
AL,ÁGUA BRANCA,2700102,MASCULINO,0,3,3
AL,ANADIA,2700201,MASCULINO,0,3,3
AL,ARAPIRACA,2700300,FEMININO,0,2,2
AL,ARAPIRACA,2700300,MASCULINO,0,6,6
AL,ATALAIA,2700409,FEMININO,0,2,2
AL,ATALAIA,2700409,MASCULINO,0,3,3
AL,BARRA DE SANTO ANTÔNIO,2700508,FEMININO,0,2,2
AL,BARRA DE SÃO MIGUEL,2700607,FEMININO,0,2,2
AL,BARRA DE SÃO MIGUEL,2700607,MASCULINO,0,3,3
AL,BATALHA,2700706,FEMININO,0,1,1
