codigo_ibge,candidaturas,nome_municipio,capital,sigla_uf,feminino,masculino,prop_feminino
1200013,4,ACRELÂNDIA,0,AC,1,3,0.25
1200054,5,ASSIS BRASIL,0,AC,0,5,0
1200104,3,BRASILÉIA,0,AC,2,1,0.6666666666666666
1200138,5,BUJARI,0,AC,1,4,0.2
1200179,4,CAPIXABA,0,AC,0,4,0
1200203,3,CRUZEIRO DO SUL,0,AC,0,3,0
1200252,4,EPITACIOLÂNDIA,0,AC,1,3,0.25
1200302,4,FEIJÓ,0,AC,0,4,0
1200328,5,JORDÃO,0,AC,2,3,0.4
1200336,3,MÂNCIO LIMA,0,AC,1,2,0.3333333333333333
1200344,2,MANOEL URBANO,0,AC,0,2,0
1200351,4,MARECHAL THAUMATURGO,0,AC,1,3,0.25
1200385,4,PLÁCIDO DE CASTRO,0,AC,1,3,0.25
1200807,5,PORTO ACRE,0,AC,0,5,0
1200393,2,PORTO WALTER,0,AC,0,2,0
1200401,7,RIO BRANCO,1,AC,1,6,0.14285714285714285
1200427,5,RODRIGUES ALVES,0,AC,0,5,0
1200435,5,SANTA ROSA DO PURUS,0,AC,1,4,0.2
1200500,2,SENA MADUREIRA,0,AC,0,2,0
1200450,5,SENADOR GUIOMARD,0,AC,2,3,0.4
1200609,6,TARAUACÁ,0,AC,1,5,0.16666666666666666
1200708,4,XAPURI,0,AC,1,3,0.25
2700102,4,ÁGUA BRANCA,0,AL,1,3,0.25
2700201,3,ANADIA,0,AL,0,3,0
2700300,8,ARAPIRACA,0,AL,2,6,0.25
2700409,5,ATALAIA,0,AL,2,3,0.4
2700508,2,BARRA DE SANTO ANTÔNIO,0,AL,2,0,1
2700607,5,BARRA DE SÃO MIGUEL,0,AL,2,3,0.4
2700706,5,BATALHA,0,AL,1,4,0.2
2700805,4,BELÉM,0,AL,1,3,0.25
2700904,2,BELO MONTE,0,AL,0,2,0
2701001,3,BOCA DA MATA,0,AL,0,3,0
2701100,4,BRANQUINHA,0,AL,0,4,0
2701209,2,CACIMBINHAS,0,AL,0,2,0
2701308,5,CAJUEIRO,0,AL,1,4,0.2
2701357,2,CAMPESTRE,0,AL,0,2,0
2701407,3,CAMPO ALEGRE,0,AL,0,3,0
2701506,3,CAMPO GRANDE,0,AL,0,3,0
2701605,3,CANAPI,0,AL,0,3,0
2701704,3,CAPELA,0,AL,0,3,0
2701803,2,CARNEIROS,0,AL,0,2,0
2701902,3,CHÃ PRETA,0,AL,0,3,0
2702009,4,COITÉ DO NÓIA,0,AL,2,2,0.5
2702108,3,COLÔNIA LEOPOLDINA,0,AL,0,3,0
2702207,3,COQUEIRO SECO,0,AL,1,2,0.3333333333333333
2702306,3,CORURIPE,0,AL,0,3,0
2702355,3,CRAÍBAS,0,AL,0,3,0
2702405,5,DELMIRO GOUVEIA,0,AL,1,4,0.2
2702504,2,DOIS RIACHOS,0,AL,0,2,0
2702553,2,ESTRELA DE ALAGOAS,0,AL,0,2,0
2702603,3,FEIRA GRANDE,0,AL,0,3,0
2702702,3,FELIZ DESERTO,0,AL,2,1,0.6666666666666666
2702801,2,FLEXEIRAS,0,AL,1,1,0.5
2702900,4,GIRAU DO PONCIANO,0,AL,0,4,0
2703007,4,IBATEGUARA,0,AL,2,2,0.5
2703106,3,IGACI,0,AL,0,3,0
2703205,4,IGREJA NOVA,0,AL,2,2,0.5
2703304,4,INHAPI,0,AL,1,3,0.25
2703403,2,JACARÉ DOS HOMENS,0,AL,0,2,0
2703502,3,JACUÍPE,0,AL,0,3,0
2703601,3,JAPARATINGA,0,AL,0,3,0
2703700,2,JARAMATAIA,0,AL,0,2,0
2703759,4,JEQUIÁ DA PRAIA,0,AL,1,3,0.25
2703809,3,JOAQUIM GOMES,0,AL,0,3,0
2703908,2,JUNDIÁ,0,AL,1,1,0.5
2704005,3,JUNQUEIRO,0,AL,0,3,0
2704104,4,LAGOA DA CANOA,0,AL,1,3,0.25
2704203,3,LIMOEIRO DE ANADIA,0,AL,0,3,0
2704302,10,MACEIÓ,1,AL,2,8,0.2
2704401,2,MAJOR ISIDORO,0,AL,0,2,0
2704906,2,MAR VERMELHO,0,AL,0,2,0
2704500,3,MARAGOGI,0,AL,0,3,0
2704609,3,MARAVILHA,0,AL,1,2,0.3333333333333333
2704708,2,MARECHAL DEODORO,0,AL,0,2,0
2704807,2,MARIBONDO,0,AL,1,1,0.5
2705002,2,MATA GRANDE,0,AL,0,2,0
2705101,3,MATRIZ DE CAMARAGIBE,0,AL,0,3,0
2705200,3,MESSIAS,0,AL,0,3,0
2705309,2,MINADOR DO NEGRÃO,0,AL,0,2,0
2705408,5,MONTEIRÓPOLIS,0,AL,0,5,0
2705507,2,MURICI,0,AL,0,2,0
2705606,2,NOVO LINO,0,AL,1,1,0.5
2705705,3,OLHO D'ÁGUA DAS FLORES,0,AL,0,3,0
2705804,2,OLHO D'ÁGUA DO CASADO,0,AL,0,2,0
2705903,5,OLHO D'ÁGUA GRANDE,0,AL,1,4,0.2
2706000,2,OLIVENÇA,0,AL,0,2,0
2706109,4,OURO BRANCO,0,AL,1,3,0.25
2706208,3,PALESTINA,0,AL,1,2,0.3333333333333333
2706307,3,PALMEIRA DOS ÍNDIOS,0,AL,2,1,0.6666666666666666
2706406,4,PÃO DE AÇÚCAR,0,AL,1,3,0.25
2706422,3,PARICONHA,0,AL,1,2,0.3333333333333333
2706448,3,PARIPUEIRA,0,AL,0,3,0
2706505,5,PASSO DE CAMARAGIBE,0,AL,2,3,0.4
2706604,2,PAULO JACINTO,0,AL,0,2,0
2706703,5,PENEDO,0,AL,1,4,0.2
2706802,3,PIAÇABUÇU,0,AL,0,3,0
2706901,3,PILAR,0,AL,0,3,0
2707008,2,PINDOBA,0,AL,0,2,0
2707107,3,PIRANHAS,0,AL,1,2,0.3333333333333333
2707206,3,POÇO DAS TRINCHEIRAS,0,AL,1,2,0.3333333333333333
2707305,5,PORTO CALVO,0,AL,1,4,0.2
2707404,2,PORTO DE PEDRAS,0,AL,1,1,0.5
2707503,2,PORTO REAL DO COLÉGIO,0,AL,1,1,0.5
2707602,2,QUEBRANGULO,0,AL,1,1,0.5
2707701,3,RIO LARGO,0,AL,1,2,0.3333333333333333
2707800,4,ROTEIRO,0,AL,1,3,0.25
2707909,2,SANTA LUZIA DO NORTE,0,AL,1,1,0.5
2708006,6,SANTANA DO IPANEMA,0,AL,1,5,0.16666666666666666
2708105,2,SANTANA DO MUNDAÚ,0,AL,0,2,0
2708204,3,SÃO BRÁS,0,AL,1,2,0.3333333333333333
2708303,3,SÃO JOSÉ DA LAJE,0,AL,2,1,0.6666666666666666
2708402,5,SÃO JOSÉ DA TAPERA,0,AL,1,4,0.2
2708501,3,SÃO LUÍS DO QUITUNDE,0,AL,1,2,0.3333333333333333
2708600,4,SÃO MIGUEL DOS CAMPOS,0,AL,0,4,0
2708709,4,SÃO MIGUEL DOS MILAGRES,0,AL,0,4,0
2708808,4,SÃO SEBASTIÃO,0,AL,0,4,0
2708907,2,SATUBA,0,AL,1,1,0.5
2708956,2,SENADOR RUI PALMEIRA,0,AL,1,1,0.5
2709004,5,TANQUE D'ARCA,0,AL,1,4,0.2
2709103,3,TAQUARANA,0,AL,0,3,0
2709152,2,TEOTÔNIO VILELA,0,AL,0,2,0
2709202,4,TRAIPU,0,AL,1,3,0.25
2709301,8,UNIÃO DOS PALMARES,0,AL,1,7,0.125
2709400,3,VIÇOSA,0,AL,0,3,0
1300029,3,ALVARÃES,0,AM,0,3,0
1300060,4,AMATURÁ,0,AM,0,4,0
1300086,3,ANAMÃ,0,AM,1,2,0.3333333333333333
1300102,2,ANORI,0,AM,1,1,0.5
1300144,3,APUÍ,0,AM,0,3,0
1300201,3,ATALAIA DO NORTE,0,AM,0,3,0
1300300,4,AUTAZES,0,AM,0,4,0
1300409,5,BARCELOS,0,AM,0,5,0
1300508,3,BARREIRINHA,0,AM,0,3,0
1300607,5,BENJAMIN CONSTANT,0,AM,0,5,0
1300631,8,BERURI,0,AM,1,7,0.125
1300680,2,BOA VISTA DO RAMOS,0,AM,0,2,0
1300706,6,BOCA DO ACRE,0,AM,0,6,0
