sigla_uf,nome_municipio,codigo_ibge,mais_comum,candidaturas,n_mais_comum
AC,ACRELÂNDIA,1200013,PARDA,4,3
AC,ASSIS BRASIL,1200054,PARDA,5,4
AC,BRASILÉIA,1200104,BRANCA,3,2
AC,BUJARI,1200138,PARDA,5,4
AC,CAPIXABA,1200179,PARDA,4,3
AC,CRUZEIRO DO SUL,1200203,PARDA,3,2
AC,EPITACIOLÂNDIA,1200252,PARDA,4,2
AC,FEIJÓ,1200302,BRANCA,4,3
AC,JORDÃO,1200328,PARDA,5,5
AC,MÂNCIO LIMA,1200336,PARDA,3,2
AC,MANOEL URBANO,1200344,PARDA,2,2
AC,MARECHAL THAUMATURGO,1200351,PARDA,4,3
AC,PLÁCIDO DE CASTRO,1200385,VÁRIAS,4,2
AC,PORTO ACRE,1200807,PARDA,5,3
AC,PORTO WALTER,1200393,PARDA,2,2
AC,RIO BRANCO,1200401,BRANCA,7,4
AC,RODRIGUES ALVES,1200427,PARDA,5,4
AC,SANTA ROSA DO PURUS,1200435,PARDA,5,5
AC,SENA MADUREIRA,1200500,VÁRIAS,2,1
AC,SENADOR GUIOMARD,1200450,PARDA,5,4
AC,TARAUACÁ,1200609,PARDA,6,6
AC,XAPURI,1200708,BRANCA,4,2
AL,ÁGUA BRANCA,2700102,PARDA,4,3
AL,ANADIA,2700201,PARDA,3,3
AL,ARAPIRACA,2700300,BRANCA,8,5
AL,ATALAIA,2700409,BRANCA,5,3
AL,BARRA DE SANTO ANTÔNIO,2700508,BRANCA,2,2
AL,BARRA DE SÃO MIGUEL,2700607,BRANCA,5,4
AL,BATALHA,2700706,BRANCA,5,3
AL,BELÉM,2700805,BRANCA,4,3
AL,BELO MONTE,2700904,VÁRIAS,2,1
AL,BOCA DA MATA,2701001,PARDA,3,2
AL,BRANQUINHA,2701100,VÁRIAS,4,2
AL,CACIMBINHAS,2701209,PARDA,2,2
AL,CAJUEIRO,2701308,BRANCA,5,3
AL,CAMPESTRE,2701357,VÁRIAS,2,1
AL,CAMPO ALEGRE,2701407,PARDA,3,2
AL,CAMPO GRANDE,2701506,PARDA,3,3
AL,CANAPI,2701605,PARDA,3,2
AL,CAPELA,2701704,PARDA,3,2
AL,CARNEIROS,2701803,BRANCA,2,2
AL,CHÃ PRETA,2701902,BRANCA,3,2
AL,COITÉ DO NÓIA,2702009,BRANCA,4,3
AL,COLÔNIA LEOPOLDINA,2702108,PARDA,3,2
AL,COQUEIRO SECO,2702207,BRANCA,3,2
AL,CORURIPE,2702306,BRANCA,3,2
AL,CRAÍBAS,2702355,BRANCA,3,2
AL,DELMIRO GOUVEIA,2702405,PARDA,5,4
AL,DOIS RIACHOS,2702504,VÁRIAS,2,1
AL,ESTRELA DE ALAGOAS,2702553,BRANCA,2,2
AL,FEIRA GRANDE,2702603,BRANCA,3,2
AL,FELIZ DESERTO,2702702,BRANCA,3,2
AL,FLEXEIRAS,2702801,VÁRIAS,2,1
AL,GIRAU DO PONCIANO,2702900,PARDA,4,3
AL,IBATEGUARA,2703007,PARDA,4,2
AL,IGACI,2703106,PARDA,3,2
AL,IGREJA NOVA,2703205,BRANCA,4,3
AL,INHAPI,2703304,BRANCA,4,3
AL,JACARÉ DOS HOMENS,2703403,BRANCA,2,2
AL,JACUÍPE,2703502,PARDA,3,2
AL,JAPARATINGA,2703601,PARDA,3,2
AL,JARAMATAIA,2703700,PARDA,2,2
AL,JEQUIÁ DA PRAIA,2703759,BRANCA,4,3
AL,JOAQUIM GOMES,2703809,PARDA,3,2
AL,JUNDIÁ,2703908,PARDA,2,2
AL,JUNQUEIRO,2704005,PARDA,3,2
AL,LAGOA DA CANOA,2704104,BRANCA,4,4
AL,LIMOEIRO DE ANADIA,2704203,BRANCA,3,2
AL,MACEIÓ,2704302,BRANCA,10,6
AL,MAJOR ISIDORO,2704401,VÁRIAS,2,1
AL,MAR VERMELHO,2704906,VÁRIAS,2,1
AL,MARAGOGI,2704500,BRANCA,3,2
AL,MARAVILHA,2704609,BRANCA,3,2
AL,MARECHAL DEODORO,2704708,BRANCA,2,2
AL,MARIBONDO,2704807,BRANCA,2,2
AL,MATA GRANDE,2705002,VÁRIAS,2,1
AL,MATRIZ DE CAMARAGIBE,2705101,PARDA,3,2
AL,MESSIAS,2705200,PARDA,3,2
AL,MINADOR DO NEGRÃO,2705309,PARDA,2,2
AL,MONTEIRÓPOLIS,2705408,PARDA,5,3
AL,MURICI,2705507,VÁRIAS,2,1
AL,NOVO LINO,2705606,PARDA,2,2
AL,OLHO D'ÁGUA DAS FLORES,2705705,BRANCA,3,2
AL,OLHO D'ÁGUA DO CASADO,2705804,VÁRIAS,2,1
AL,OLHO D'ÁGUA GRANDE,2705903,BRANCA,5,3
AL,OLIVENÇA,2706000,PARDA,2,2
AL,OURO BRANCO,2706109,PARDA,4,2
AL,PALESTINA,2706208,BRANCA,3,3
AL,PALMEIRA DOS ÍNDIOS,2706307,BRANCA,3,2
AL,PÃO DE AÇÚCAR,2706406,BRANCA,4,3
AL,PARICONHA,2706422,INDÍGENA,3,2
AL,PARIPUEIRA,2706448,PARDA,3,2
AL,PASSO DE CAMARAGIBE,2706505,BRANCA,5,3
AL,PAULO JACINTO,2706604,VÁRIAS,2,1
AL,PENEDO,2706703,PARDA,5,3
AL,PIAÇABUÇU,2706802,BRANCA,3,2
AL,PILAR,2706901,BRANCA,3,3
AL,PINDOBA,2707008,BRANCA,2,2
AL,PIRANHAS,2707107,PARDA,3,2
AL,POÇO DAS TRINCHEIRAS,2707206,BRANCA,3,3
AL,PORTO CALVO,2707305,BRANCA,5,3
AL,PORTO DE PEDRAS,2707404,VÁRIAS,2,1
AL,PORTO REAL DO COLÉGIO,2707503,VÁRIAS,2,1
AL,QUEBRANGULO,2707602,VÁRIAS,2,1
AL,RIO LARGO,2707701,BRANCA,3,3
AL,ROTEIRO,2707800,PARDA,4,4
AL,SANTA LUZIA DO NORTE,2707909,VÁRIAS,2,1
AL,SANTANA DO IPANEMA,2708006,PARDA,6,5
AL,SANTANA DO MUNDAÚ,2708105,VÁRIAS,2,1
AL,SÃO BRÁS,2708204,BRANCA,3,2
AL,SÃO JOSÉ DA LAJE,2708303,PARDA,3,2
AL,SÃO JOSÉ DA TAPERA,2708402,PARDA,5,3
AL,SÃO LUÍS DO QUITUNDE,2708501,PARDA,3,2
AL,SÃO MIGUEL DOS CAMPOS,2708600,VÁRIAS,4,2
AL,SÃO MIGUEL DOS MILAGRES,2708709,VÁRIAS,4,2
AL,SÃO SEBASTIÃO,2708808,PARDA,4,3
AL,SATUBA,2708907,PARDA,2,2
AL,SENADOR RUI PALMEIRA,2708956,VÁRIAS,2,1
AL,TANQUE D'ARCA,2709004,PARDA,5,3
AL,TAQUARANA,2709103,BRANCA,3,2
AL,TEOTÔNIO VILELA,2709152,PARDA,2,2
AL,TRAIPU,2709202,VÁRIAS,4,2
AL,UNIÃO DOS PALMARES,2709301,PARDA,8,7
AL,VIÇOSA,2709400,BRANCA,3,2
AM,ALVARÃES,1300029,PARDA,3,3
AM,AMATURÁ,1300060,PARDA,4,3
AM,ANAMÃ,1300086,PARDA,3,3
AM,ANORI,1300102,VÁRIAS,2,1
AM,APUÍ,1300144,BRANCA,3,3
AM,ATALAIA DO NORTE,1300201,VÁRIAS,3,1
