sigla_uf,nome_municipio,codigo_ibge,capital,descricao_cor_raca,n,candidaturas
AC,ACRELÂNDIA,1200013,0,BRANCA,1,4
AC,ACRELÂNDIA,1200013,0,PARDA,3,4
AC,ASSIS BRASIL,1200054,0,BRANCA,1,5
AC,ASSIS BRASIL,1200054,0,PARDA,4,5
AC,BRASILÉIA,1200104,0,BRANCA,2,3
AC,BRASILÉIA,1200104,0,PARDA,1,3
AC,BUJARI,1200138,0,PARDA,4,5
AC,BUJARI,1200138,0,PRETA,1,5
AC,CAPIXABA,1200179,0,PARDA,3,4
AC,CAPIXABA,1200179,0,PRETA,1,4
AC,CRUZEIRO DO SUL,1200203,0,BRANCA,1,3
AC,CRUZEIRO DO SUL,1200203,0,PARDA,2,3
AC,EPITACIOLÂNDIA,1200252,0,BRANCA,1,4
AC,EPITACIOLÂNDIA,1200252,0,PARDA,2,4
AC,EPITACIOLÂNDIA,1200252,0,PRETA,1,4
AC,FEIJÓ,1200302,0,BRANCA,3,4
AC,FEIJÓ,1200302,0,PARDA,1,4
AC,JORDÃO,1200328,0,PARDA,5,5
AC,MÂNCIO LIMA,1200336,0,BRANCA,1,3
AC,MÂNCIO LIMA,1200336,0,PARDA,2,3
AC,MANOEL URBANO,1200344,0,PARDA,2,2
AC,MARECHAL THAUMATURGO,1200351,0,INDÍGENA,1,4
AC,MARECHAL THAUMATURGO,1200351,0,PARDA,3,4
AC,PLÁCIDO DE CASTRO,1200385,0,BRANCA,2,4
AC,PLÁCIDO DE CASTRO,1200385,0,PARDA,2,4
AC,PORTO ACRE,1200807,0,PARDA,3,5
AC,PORTO ACRE,1200807,0,PRETA,1,5
AC,PORTO ACRE,1200807,0,SEM INFORMAÇÃO,1,5
AC,PORTO WALTER,1200393,0,PARDA,2,2
AC,RIO BRANCO,1200401,1,AMARELA,1,7
AC,RIO BRANCO,1200401,1,BRANCA,4,7
AC,RIO BRANCO,1200401,1,PARDA,2,7
AC,RODRIGUES ALVES,1200427,0,BRANCA,1,5
AC,RODRIGUES ALVES,1200427,0,PARDA,4,5
AC,SANTA ROSA DO PURUS,1200435,0,PARDA,5,5
AC,SENA MADUREIRA,1200500,0,BRANCA,1,2
AC,SENA MADUREIRA,1200500,0,PARDA,1,2
AC,SENADOR GUIOMARD,1200450,0,BRANCA,1,5
AC,SENADOR GUIOMARD,1200450,0,PARDA,4,5
AC,TARAUACÁ,1200609,0,PARDA,6,6
AC,XAPURI,1200708,0,BRANCA,2,4
AC,XAPURI,1200708,0,PARDA,1,4
AC,XAPURI,1200708,0,SEM INFORMAÇÃO,1,4
AL,ÁGUA BRANCA,2700102,0,BRANCA,1,4
AL,ÁGUA BRANCA,2700102,0,PARDA,3,4
AL,ANADIA,2700201,0,PARDA,3,3
AL,ARAPIRACA,2700300,0,BRANCA,5,8
AL,ARAPIRACA,2700300,0,PARDA,3,8
AL,ATALAIA,2700409,0,BRANCA,3,5
AL,ATALAIA,2700409,0,PARDA,2,5
AL,BARRA DE SANTO ANTÔNIO,2700508,0,BRANCA,2,2
AL,BARRA DE SÃO MIGUEL,2700607,0,BRANCA,4,5
AL,BARRA DE SÃO MIGUEL,2700607,0,PARDA,1,5
AL,BATALHA,2700706,0,BRANCA,3,5
AL,BATALHA,2700706,0,PARDA,2,5
AL,BELÉM,2700805,0,BRANCA,3,4
AL,BELÉM,2700805,0,PARDA,1,4
AL,BELO MONTE,2700904,0,BRANCA,1,2
AL,BELO MONTE,2700904,0,PARDA,1,2
AL,BOCA DA MATA,2701001,0,BRANCA,1,3
AL,BOCA DA MATA,2701001,0,PARDA,2,3
AL,BRANQUINHA,2701100,0,BRANCA,2,4
AL,BRANQUINHA,2701100,0,PARDA,2,4
AL,CACIMBINHAS,2701209,0,PARDA,2,2
AL,CAJUEIRO,2701308,0,BRANCA,3,5
AL,CAJUEIRO,2701308,0,PARDA,2,5
AL,CAMPESTRE,2701357,0,BRANCA,1,2
AL,CAMPESTRE,2701357,0,PARDA,1,2
AL,CAMPO ALEGRE,2701407,0,BRANCA,1,3
AL,CAMPO ALEGRE,2701407,0,PARDA,2,3
AL,CAMPO GRANDE,2701506,0,PARDA,3,3
AL,CANAPI,2701605,0,BRANCA,1,3
AL,CANAPI,2701605,0,PARDA,2,3
AL,CAPELA,2701704,0,BRANCA,1,3
AL,CAPELA,2701704,0,PARDA,2,3
AL,CARNEIROS,2701803,0,BRANCA,2,2
AL,CHÃ PRETA,2701902,0,BRANCA,2,3
AL,CHÃ PRETA,2701902,0,PARDA,1,3
AL,COITÉ DO NÓIA,2702009,0,BRANCA,3,4
AL,COITÉ DO NÓIA,2702009,0,PARDA,1,4
AL,COLÔNIA LEOPOLDINA,2702108,0,AMARELA,1,3
AL,COLÔNIA LEOPOLDINA,2702108,0,PARDA,2,3
AL,COQUEIRO SECO,2702207,0,BRANCA,2,3
AL,COQUEIRO SECO,2702207,0,PARDA,1,3
AL,CORURIPE,2702306,0,BRANCA,2,3
AL,CORURIPE,2702306,0,PARDA,1,3
AL,CRAÍBAS,2702355,0,BRANCA,2,3
AL,CRAÍBAS,2702355,0,PARDA,1,3
AL,DELMIRO GOUVEIA,2702405,0,BRANCA,1,5
AL,DELMIRO GOUVEIA,2702405,0,PARDA,4,5
AL,DOIS RIACHOS,2702504,0,BRANCA,1,2
AL,DOIS RIACHOS,2702504,0,PARDA,1,2
AL,ESTRELA DE ALAGOAS,2702553,0,BRANCA,2,2
AL,FEIRA GRANDE,2702603,0,BRANCA,2,3
