codigo_ibge,candidaturas,sigla_uf,BRANCA,PARDA,PRETA,INDÍGENA,SEM INFORMAÇÃO,AMARELA
1200013,4,AC,1,3,0,0,0,0
1200054,5,AC,1,4,0,0,0,0
1200104,3,AC,2,1,0,0,0,0
1200138,5,AC,0,4,1,0,0,0
1200179,4,AC,0,3,1,0,0,0
1200203,3,AC,1,2,0,0,0,0
1200252,4,AC,1,2,1,0,0,0
1200302,4,AC,3,1,0,0,0,0
1200328,5,AC,0,5,0,0,0,0
1200336,3,AC,1,2,0,0,0,0
1200344,2,AC,0,2,0,0,0,0
1200351,4,AC,0,3,0,1,0,0
1200385,4,AC,2,2,0,0,0,0
1200807,5,AC,0,3,1,0,1,0
1200393,2,AC,0,2,0,0,0,0
1200401,7,AC,4,2,0,0,0,1
1200427,5,AC,1,4,0,0,0,0
1200435,5,AC,0,5,0,0,0,0
1200500,2,AC,1,1,0,0,0,0
1200450,5,AC,1,4,0,0,0,0
1200609,6,AC,0,6,0,0,0,0
1200708,4,AC,2,1,0,0,1,0
2700102,4,AL,1,3,0,0,0,0
2700201,3,AL,0,3,0,0,0,0
2700300,8,AL,5,3,0,0,0,0
2700409,5,AL,3,2,0,0,0,0
2700508,2,AL,2,0,0,0,0,0
2700607,5,AL,4,1,0,0,0,0
2700706,5,AL,3,2,0,0,0,0
2700805,4,AL,3,1,0,0,0,0
2700904,2,AL,1,1,0,0,0,0
2701001,3,AL,1,2,0,0,0,0
2701100,4,AL,2,2,0,0,0,0
2701209,2,AL,0,2,0,0,0,0
2701308,5,AL,3,2,0,0,0,0
2701357,2,AL,1,1,0,0,0,0
2701407,3,AL,1,2,0,0,0,0
2701506,3,AL,0,3,0,0,0,0
2701605,3,AL,1,2,0,0,0,0
2701704,3,AL,1,2,0,0,0,0
2701803,2,AL,2,0,0,0,0,0
2701902,3,AL,2,1,0,0,0,0
2702009,4,AL,3,1,0,0,0,0
2702108,3,AL,0,2,0,0,0,1
2702207,3,AL,2,1,0,0,0,0
2702306,3,AL,2,1,0,0,0,0
2702355,3,AL,2,1,0,0,0,0
2702405,5,AL,1,4,0,0,0,0
2702504,2,AL,1,1,0,0,0,0
2702553,2,AL,2,0,0,0,0,0
2702603,3,AL,2,0,1,0,0,0
2702702,3,AL,2,1,0,0,0,0
2702801,2,AL,1,1,0,0,0,0
2702900,4,AL,1,3,0,0,0,0
2703007,4,AL,1,2,0,0,1,0
2703106,3,AL,1,2,0,0,0,0
2703205,4,AL,3,1,0,0,0,0
2703304,4,AL,3,1,0,0,0,0
2703403,2,AL,2,0,0,0,0,0
2703502,3,AL,1,2,0,0,0,0
2703601,3,AL,1,2,0,0,0,0
2703700,2,AL,0,2,0,0,0,0
2703759,4,AL,3,1,0,0,0,0
2703809,3,AL,1,2,0,0,0,0
2703908,2,AL,0,2,0,0,0,0
2704005,3,AL,0,2,0,0,1,0
2704104,4,AL,4,0,0,0,0,0
2704203,3,AL,2,1,0,0,0,0
2704302,10,AL,6,4,0,0,0,0
2704401,2,AL,1,1,0,0,0,0
2704906,2,AL,1,1,0,0,0,0
2704500,3,AL,2,1,0,0,0,0
2704609,3,AL,2,1,0,0,0,0
2704708,2,AL,2,0,0,0,0,0
2704807,2,AL,2,0,0,0,0,0
2705002,2,AL,1,1,0,0,0,0
2705101,3,AL,1,2,0,0,0,0
2705200,3,AL,1,2,0,0,0,0
2705309,2,AL,0,2,0,0,0,0
2705408,5,AL,2,3,0,0,0,0
2705507,2,AL,1,1,0,0,0,0
2705606,2,AL,0,2,0,0,0,0
2705705,3,AL,2,0,1,0,0,0
2705804,2,AL,1,1,0,0,0,0
2705903,5,AL,3,2,0,0,0,0
2706000,2,AL,0,2,0,0,0,0
2706109,4,AL,1,2,1,0,0,0
2706208,3,AL,3,0,0,0,0,0
2706307,3,AL,2,0,1,0,0,0
2706406,4,AL,3,1,0,0,0,0
2706422,3,AL,1,0,0,2,0,0
2706448,3,AL,1,2,0,0,0,0
2706505,5,AL,3,2,0,0,0,0
2706604,2,AL,1,1,0,0,0,0
2706703,5,AL,1,3,1,0,0,0
2706802,3,AL,2,1,0,0,0,0
2706901,3,AL,3,0,0,0,0,0
2707008,2,AL,2,0,0,0,0,0
2707107,3,AL,1,2,0,0,0,0
2707206,3,AL,3,0,0,0,0,0
2707305,5,AL,3,2,0,0,0,0
2707404,2,AL,1,1,0,0,0,0
2707503,2,AL,1,1,0,0,0,0
2707602,2,AL,1,1,0,0,0,0
2707701,3,AL,3,0,0,0,0,0
2707800,4,AL,0,4,0,0,0,0
2707909,2,AL,1,1,0,0,0,0
2708006,6,AL,1,5,0,0,0,0
2708105,2,AL,1,1,0,0,0,0
2708204,3,AL,2,1,0,0,0,0
2708303,3,AL,1,2,0,0,0,0
2708402,5,AL,2,3,0,0,0,0
2708501,3,AL,1,2,0,0,0,0
2708600,4,AL,2,2,0,0,0,0
2708709,4,AL,2,2,0,0,0,0
2708808,4,AL,1,3,0,0,0,0
2708907,2,AL,0,2,0,0,0,0
2708956,2,AL,1,1,0,0,0,0
2709004,5,AL,2,3,0,0,0,0
2709103,3,AL,2,1,0,0,0,0
2709152,2,AL,0,2,0,0,0,0
2709202,4,AL,2,2,0,0,0,0
2709301,8,AL,1,7,0,0,0,0
2709400,3,AL,2,1,0,0,0,0
1300029,3,AM,0,3,0,0,0,0
1300060,4,AM,1,3,0,0,0,0
1300086,3,AM,0,3,0,0,0,0
1300102,2,AM,1,1,0,0,0,0
1300144,3,AM,3,0,0,0,0,0
1300201,3,AM,1,1,1,0,0,0
1300300,4,AM,2,1,0,1,0,0
1300409,5,AM,2,2,0,1,0,0
1300508,3,AM,1,2,0,0,0,0
1300607,5,AM,2,3,0,0,0,0
1300631,8,AM,2,6,0,0,0,0
1300680,2,AM,1,1,0,0,0,0
1300706,6,AM,3,3,0,0,0,0
1300805,5,AM,0,4,1,0,0,0
1300839,2,AM,1,1,0,0,0,0
1300904,3,AM,1,2,0,0,0,0
1301001,3,AM,1,2,0,0,0,0
1301100,5,AM,2,3,0,0,0,0
1301159,5,AM,1,4,0,0,0,0
1301209,10,AM,1,9,0,0,0,0
1301308,4,AM,1,3,0,0,0,0
1301407,5,AM,2,2,1,0,0,0
1301506,3,AM,2,1,0,0,0,0
1301605,4,AM,1,3,0,0,0,0
1301654,3,AM,1,2,0,0,0,0
1301704,6,AM,5,1,0,0,0,0
1301803,3,AM,1,2,0,0,0,0
1301852,11,AM,2,9,0,0,0,0
1301902,7,AM,4,3,0,0,0,0
1301951,2,AM,0,2,0,0,0,0
1302009,3,AM,1,2,0,0,0,0
1302108,4,AM,0,4,0,0,0,0
1302207,4,AM,1,3,0,0,0,0
1302306,4,AM,2,2,0,0,0,0
1302405,3,AM,1,1,1,0,0,0
1302504,5,AM,0,5,0,0,0,0
1302553,4,AM,2,2,0,0,0,0
1302603,11,AM,5,5,1,0,0,0
1302702,4,AM,1,3,0,0,0,0
1302801,6,AM,0,5,1,0,0,0
1302900,3,AM,1,2,0,0,0,0
1303007,4,AM,0,4,0,0,0,0
1303106,7,AM,2,5,0,0,0,0
1303205,5,AM,0,5,0,0,0,0
1303304,4,AM,1,3,0,0,0,0
1303403,3,AM,1,2,0,0,0,0
1303502,3,AM,2,1,0,0,0,0
1303536,10,AM,5,4,0,0,0,1
1303569,2,AM,0,2,0,0,0,0
1303601,7,AM,2,3,0,2,0,0
1303700,4,AM,1,3,0,0,0,0
1303809,6,AM,2,0,0,4,0,0
1303908,4,AM,0,3,1,0,0,0
1303957,5,AM,1,4,0,0,0,0
1304005,5,AM,0,5,0,0,0,0
1304062,5,AM,2,3,0,0,0,0
1304104,2,AM,0,2,0,0,0,0
1304203,7,AM,3,4,0,0,0,0
1304237,4,AM,1,3,0,0,0,0
1304260,3,AM,1,2,0,0,0,0
1304302,5,AM,1,4,0,0,0,0
1304401,3,AM,0,3,0,0,0,0
1600154,3,AP,1,2,0,0,0,0
1600105,3,AP,2,1,0,0,0,0
1600204,5,AP,2,2,1,0,0,0
1600212,5,AP,0,5,0,0,0,0
1600238,5,AP,0,4,1,0,0,0
1600253,6,AP,0,3,3,0,0,0
1600279,5,AP,1,3,1,0,0,0
1600303,10,AP,3,6,1,0,0,0
1600402,6,AP,0,4,2,0,0,0
1600501,7,AP,1,2,3,1,0,0
1600535,7,AP,2,5,0,0,0,0
1600550,5,AP,1,3,0,0,1,0
1600600,9,AP,2,6,0,0,1,0
1600055,5,AP,1,4,0,0,0,0
1600709,4,AP,1,3,0,0,0,0
1600808,7,AP,3,4,0,0,0,0
2900108,2,BA,1,1,0,0,0,0
2900207,3,BA,0,2,1,0,0,0
2900306,2,BA,0,2,0,0,0,0
2900355,3,BA,3,0,0,0,0,0
2900405,4,BA,1,1,2,0,0,0
2900603,2,BA,0,2,0,0,0,0
2900702,7,BA,1,4,2,0,0,0
2900801,3,BA,1,2,0,0,0,0
2900900,4,BA,2,2,0,0,0,0
2901007,2,BA,1,1,0,0,0,0
2901106,5,BA,1,3,1,0,0,0
2901155,4,BA,1,2,1,0,0,0
2901205,7,BA,2,4,1,0,0,0
2901304,2,BA,1,1,0,0,0,0
2901353,3,BA,3,0,0,0,0,0
2901403,3,BA,1,1,1,0,0,0
2901502,2,BA,0,2,0,0,0,0
2901601,2,BA,1,1,0,0,0,0
2901700,4,BA,2,1,1,0,0,0
2901809,3,BA,1,1,1,0,0,0
2901908,3,BA,0,3,0,0,0,0
2901957,2,BA,0,2,0,0,0,0
2902054,4,BA,2,1,1,0,0,0
2902005,2,BA,1,1,0,0,0,0
2902104,3,BA,2,1,0,0,0,0
2902203,3,BA,0,3,0,0,0,0
2902252,3,BA,1,2,0,0,0,0
2902302,3,BA,1,0,2,0,0,0
2902401,2,BA,0,2,0,0,0,0
